company_name,category_query,city,phone,email,website,address,google_place_id
West Hill Grill,restaurants,"Denver, CO",(303) 933-7761,,http://www.westhillgrill.com/,"11614 W Belleview Ave # H, Littleton, CO 80127, USA",ChIJ1_mTibN4a4cRwrivVWzDW7s
The 49th Food & Spirits Denver,restaurants,"Denver, CO",(720) 255-2021,,http://www.the49thdenver.com/,"4550 S Kipling St #6, Denver, CO 80127, USA",ChIJBb0TnVt_a4cRUZDRsnuQpes
Pho 98 & Asian Cuisine,restaurants,"Denver, CO",(303) 972-9239,,https://www.pho98denver.com/,"4550 S Kipling St #17, Littleton, CO 80127, USA",ChIJCcJiYbl_a4cRW5zKvfuhmk8
Bandido's | Mexican Restaurant,restaurants,"Denver, CO",(303) 979-9746,,http://www.bandidosdenver.com/,"4550 S Kipling St #18, Denver, CO 80127, USA",ChIJU0sRgVt_a4cRk7Tjv7wfht0
Tamale Kitchen 7,restaurants,"Denver, CO",(303) 972-4477,,http://www.tamalekitchen7.com/,"5055 S Kipling St c9, Littleton, CO 80127, USA",ChIJb51glEZ_a4cRWYTHDN3FWQE
Saucy's Pizza,restaurants,"Denver, CO",(303) 904-8800,,https://mysaucyspizza.com/?utm_source=google,"5055 S Kipling St, Littleton, CO 80127, USA",ChIJtbdvaUZ_a4cR6aUHODiHb34
City Buffet,restaurants,"Denver, CO",(720) 541-6811,,https://cocitybuffet.com/,"5066 S Wadsworth Blvd Unit 123, Littleton, CO 80123, USA",ChIJL-vUJgB_a4cRg8jKeEjRCqk
EL TEJADO MEXICAN RESTAURANT,restaurants,"Denver, CO",,,,"Lakewood, CO 80123, USA",ChIJD_L0hXJ_a4cRfTmYPsFljQU
3 Margaritas Lakewood,restaurants,"Denver, CO",(303) 948-1454,,https://lakewood.3margaritas.com/,"5130 S Wadsworth Blvd, Littleton, CO 80123, USA",ChIJLXpFq3J_a4cR6n3X2h8PrHE
Applebee's Grill + Bar,restaurants,"Denver, CO",(303) 933-2230,,https://restaurants.applebees.com/en-us/co/lakewood/5250-s.-wadsworth-blvd.-84030?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=84030&utm_content=website,"5250 S Wadsworth Blvd, Lakewood, CO 80123, USA",ChIJnfMffA1_a4cRg-zGVsMbWng
Noodles and Company,restaurants,"Denver, CO",(303) 904-0870,,https://locations.noodles.com/co/littleton/8555-w-belleview-ave?utm_campaign=soci&utm_medium=organic&utm_source=google,"8555 W Belleview Ave, Littleton, CO 80123, USA",ChIJAQAAALB_a4cRq7P76Wn1tm8
Walter's303 Pizzeria & Publik House | Bow Mar,restaurants,"Denver, CO",(303) 795-3030,,https://walters303.com/location/bow-mar/,"5194 S Lowell Blvd, Littleton, CO 80123, USA",ChIJ7RwiT9h_a4cRODJN7kTeyfE
Ft Logan Eatery,restaurants,"Denver, CO",(720) 772-1715,,https://housedworkingandhealthy.org/eatery/,"Oxford and Lowell, 3525 W Oxford Ave Unit G1, Denver, CO 80236, USA",ChIJM7Y-mGx_a4cR3i0YenxQS9Y
Bistro 36 Drinkery & Eatery,restaurants,"Denver, CO",(720) 510-9439,,https://www.bistro36eatery.com/,"2620 W Belleview Ave, Littleton, CO 80123, USA",ChIJIen8hWiBbIcReg6B_9o4Lt4
Beyond Thai,restaurants,"Denver, CO",(303) 797-3380,,https://www.beyondthailittleton.com/menu,"2630 W Belleview Ave Ste 150, Littleton, CO 80123, USA",ChIJIxPWp5CBbIcR73qfU9dxVQQ
The 49th Food & Spirits Littleton,restaurants,"Denver, CO",(303) 872-3978,,http://the49thdenver.com/,"5350 S Santa Fe Dr F Suite, Littleton, CO 80120, USA",ChIJjR2ANQCBbIcRdEetqj89dBQ
Toast Fine Food & Coffee,restaurants,"Denver, CO",(303) 797-9543,,https://toastfinefoodandcoffee.com/,"2630 W Belleview Ave #100, Littleton, CO 80123, USA",ChIJVXN7qzKAbIcRn7v2_MRk6H4
Stone Creek Cafe,restaurants,"Denver, CO",(303) 798-1619,,http://stonecreek.cafe/,"5075 S Federal Blvd, Englewood, CO 80110, USA",ChIJqbCMLSSAbIcR9Eq0UHviK6w
"Cheba Hut ""Toasted"" Subs",restaurants,"Denver, CO",(720) 835-2420,,https://chebahut.com/locations/englewood-federal/,"5098 S Federal Blvd suite c, Englewood, CO 80110, USA",ChIJ36-CNwCBbIcRwNHQzKev_xw
Wyatt's at Broken Tee,restaurants,"Denver, CO",(720) 207-5078,,http://www.wyattsbrokentee.com/,"2101 W Oxford Ave, Englewood, CO 80110, USA",ChIJM-z1YDmBbIcRBV-N0glVkGM
Mike's Cafe,restaurants,"Denver, CO",(303) 806-5138,,https://m.facebook.com/profile.php/?id=100054319849882,"4110 S Federal Blvd, Englewood, CO 80110, USA",ChIJtbf7OBuAbIcRzY22KQYKJb0
Hujra Kebab & Gyros,restaurants,"Denver, CO",(720) 703-0821,,https://www.hujrakebabgyros.com/,"2897 W Belleview Ave A, Littleton, CO 80123, USA",ChIJBVbb0nmBbIcR1_pcn8FVSLw
Wayback Burgers,restaurants,"Denver, CO",(303) 794-3136,,https://waybackburgers.com/locations/colorado/englewood/?y_source=1_MTM4NTMxMzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"5098 S Federal Blvd, Englewood, CO 80110, USA",ChIJ6WQXtiWAbIcRU5M1wAug0ZI
Taj Mahal Indian Cuisine,restaurants,"Denver, CO",(720) 595-3190,,https://www.tajmahallittleton.com/,"5350 S Santa Fe Dr C, Littleton, CO 80120, USA",ChIJgSoEKiCBbIcRcGxVXJlLB-M
Smokin' Outlaw Kitchen,restaurants,"Denver, CO",(303) 875-9943,,http://www.smokinoutlawkitchen.us/,"4211 S Natches Ct a, Englewood, CO 80110, USA",ChIJM-vmUXKBbIcRu8GdCegB12Y
ReplyWiseAi,restaurants,"Denver, CO",,,,"5460 S Broadway, Englewood, CO 80113, USA",ChIJpxpWU6OBbIcRfOjemvX4LFM
Asuka Ramen and Poke,restaurants,"Denver, CO",(303) 993-8281,,https://www.asukadtc.com/,"4011 S Broadway, Englewood, CO 80113, USA",ChIJL-8YaOmBbIcRWlIk00hsC_A
Black-eyed Pea,restaurants,"Denver, CO",(303) 788-1350,,http://blackeyedpeacolorado.com/,"5180 S Broadway, Englewood, CO 80113, USA",ChIJ35hkelaAbIcRnT2p9UCdlmM
Alvarado's Mexican Fast Food,restaurants,"Denver, CO",(720) 479-8029,,https://mexicanfastfoodenglewood.com/,"4901 S Broadway, Englewood, CO 80113, USA",ChIJmZ_s3rmBbIcRTYT_zOw1nJ8
Los Dos Amigos Tacos and Tortas,restaurants,"Denver, CO",(720) 751-6688,,http://los-dos-amigos.square.site/,"4811 S Broadway, Englewood, CO 80113, USA",ChIJNdHoUDiBbIcRfnJhAXYpnV8
Full House Sports Bar and Grill,restaurants,"Denver, CO",(720) 485-4494,,https://fullhousebarandgrills.com/,"4272 S Broadway, Englewood, CO 80113, USA",ChIJH-MERmCAbIcRKBZBHsoerNE
Famous Amos Tacos,restaurants,"Denver, CO",(720) 999-2329,,,"5301 S Broadway, Littleton, CO 80120, USA",ChIJwT_XmNaBbIcR2wQJ1o-3ogg
Grateful Plate,restaurants,"Denver, CO",(303) 905-3838,,https://www.gratefulplatedenver.com/about/,"4111 S Natches Ct Ste. A, Englewood, CO 80110, USA",ChIJHwvPPwCBbIcRMhPKANHFfPo
Duffeyroll Bakery Cafe,restaurants,"Denver, CO",(303) 996-5900,,http://duffeyrolls.com/,"5198 S Broadway, Englewood, CO 80113, USA",ChIJv0Lv11WAbIcR3tnRHTiKo_8
Panda dim sum &dumpling house,restaurants,"Denver, CO",(720) 476-6822,,https://pandadimsum.toast.site/order,"4955 S Ulster St Unit 102, Denver, CO 80237, USA",ChIJ2YsGGxyHbIcRAidZ-LLSHaA
Urban Egg,restaurants,"Denver, CO",(720) 482-4070,,http://urbanegg.com/,"6991 E Belleview Ave, Denver, CO 80237, USA",ChIJIw_PDeOGbIcRRTLisCKgbPk
Ambli Global - DTC,restaurants,"Denver, CO",(720) 476-3164,,https://www.amblidenver.com/ambliglobalatbelleviewstation,"6799 E Belleview Ave, Denver, CO 80237, USA",ChIJ0aH3z-OGbIcRzynWFDj0jNk
Pint Brothers,restaurants,"Denver, CO",(303) 740-2518,,https://www.pintbrothersdenver.com/,"4900 S Syracuse St, Denver, CO 80237, USA",ChIJI-VIEP2GbIcR_jgqSOF0Yfw
Bad Daddy's Burger Bar,restaurants,"Denver, CO",(720) 726-7816,,https://www.baddaddysburgerbar.com/locations/bad-daddys-burger-bar-4,"5380 Greenwood Plaza Blvd #106, Greenwood Village, CO 80111, USA",ChIJq6KHc_qGbIcROVFKJ5RcWkw
Saverina,restaurants,"Denver, CO",(855) 546-7866,,https://saverinadenver.com/,"6985 E Chenango Ave, Denver, CO 80237, USA",ChIJ0Y-F5uKGbIcR61YZ6PqjQk4
shondiz mediterranean restaurant,restaurants,"Denver, CO",(720) 541-7742,,https://www.shondiz.com/?utm_source=google&utm_medium=local&utm_campaign=gbp&utm_content=website_button,"8000 E Quincy Ave Unit 1000, Denver, CO 80237, USA",ChIJuX6GDwaHbIcR1jlHTGH28bo
Peckish,restaurants,"Denver, CO",(303) 248-3764,,https://www.peckishco.com/,"4920 S Newport St, Denver, CO 80237, USA",ChIJwUce-faHbIcRVgKI0cL7fQk
Le French DTC Belleview Station,restaurants,"Denver, CO",(720) 710-8963,,http://lefrenchdenver.com/,"4901 S Newport St, Denver, CO 80237, USA",ChIJrc12stWHbIcRn3T2952y5OU
Los Chingones - DTC,restaurants,"Denver, CO",(303) 567-4258,,https://www.loschingonesmexican.com/,"4959 S Newport St, Denver, CO 80237, USA",ChIJ35rlnhaHbIcRtoAqyhZa7y0
La Loma DTC,restaurants,"Denver, CO",(303) 656-2082,,https://www.lalomarestaurants.com/denver-tech-center,"8000 E Belleview Ave G-10, Greenwood Village, CO 80111, USA",ChIJGyyMGQCHbIcRM7uC6HL1a1A
Catira | Venezuelan Kitchen & Cocktails,restaurants,"Denver, CO",(720) 826-3920,,https://holacatira.com/,"5370 Greenwood Plaza Blvd #107, Greenwood Village, CO 80111, USA",ChIJv6b_6quHbIcR5ngfoWJ-aFU
Bryan’s Dumpling House,restaurants,"Denver, CO",(303) 952-9631,,https://bryansdh.com/,"8000 E Belleview Ave Suite B45, Greenwood Village, CO 80111, USA",ChIJa3cZvM6HbIcR7ikePlEUaEg
